Cities,Country,Latitude,Longitude,Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph)
acapulco,mx,16.86,-99.89,80.6,74.0,20.0,5.82
ushuaia,ar,-54.8,-68.3,50.0,81.0,90.0,28.86
ilulissat,gl,69.22,-51.1,8.6,42.0,92.0,11.41
pisco,pe,-13.7,-76.22,75.99,83.0,20.0,19.46
shingu,jp,33.73,135.98,48.2,93.0,75.0,4.7
salalah,om,17.02,54.09,77.0,78.0,75.0,4.7
thompson,ca,55.74,-97.86,15.8,92.0,90.0,4.56
sivas,tr,39.79,37.0,6.8,84.0,0.0,4.7
isangel,vu,-19.55,169.27,80.6,78.0,75.0,6.93
lebu,cl,-37.62,-73.65,61.23,85.0,0.0,7.78
lusambo,cd,-4.97,23.45,72.0,71.0,100.0,1.88
sistranda,no,63.73,8.83,46.4,87.0,75.0,31.09
iqaluit,ca,63.75,-68.51,-27.0,60.0,5.0,6.93
constitucion,mx,23.99,-104.67,53.6,71.0,90.0,4.7
norsup,vu,-16.07,167.38,86.0,70.0,20.0,6.93
cabra,ph,13.89,120.05,78.75,84.0,14.0,8.34
taolanaro,mg,,,,,,
ribeira grande,pt,38.52,-28.7,54.21,74.0,99.0,5.59
holme,no,,,,,,
cabo san lucas,mx,22.89,-109.91,70.0,77.0,40.0,3.36
butaritari,ki,3.07,172.79,85.51,72.0,100.0,9.89
port elizabeth,za,-33.92,25.57,68.0,94.0,75.0,17.22
vila velha,br,-20.33,-40.29,71.6,94.0,75.0,4.7
yacuiba,bo,-22.04,-63.68,75.2,42.0,0.0,5.68
bathsheba,bb,13.22,-59.52,77.0,83.0,75.0,6.93
severnyy-kospashskiy,ru,59.09,57.8,10.99,79.0,100.0,1.01
te anau,nz,-45.42,167.72,63.37,79.0,100.0,7.38
georgetown,sh,-7.93,-14.42,78.03,77.0,94.0,13.09
manakara,mg,-22.13,48.02,69.37,81.0,16.0,2.28
formosa,br,-15.54,-47.33,67.23,92.0,100.0,7.29
hillsboro,us,45.52,-122.99,54.0,81.0,1.0,4.7
sibu,my,2.3,111.82,80.6,88.0,75.0,5.82
bilma,ne,18.69,12.92,59.02,17.0,58.0,11.01
lagoa,pt,39.05,-27.98,57.72,65.0,100.0,8.63
bredasdorp,za,-34.53,20.04,62.6,72.0,68.0,9.17
mitsamiouli,km,-11.38,43.28,76.95,87.0,100.0,1.88
maniitsoq,gl,65.42,-52.9,13.89,85.0,100.0,13.18
kodiak,us,57.79,-152.41,17.6,61.0,90.0,23.04
yatou,cn,37.15,122.38,40.77,62.0,100.0,18.5
henties bay,na,-22.12,14.28,62.01,95.0,0.0,2.66
hofn,is,64.25,-15.21,38.97,86.0,82.0,16.04
bambous virieux,mu,-20.34,57.76,77.0,78.0,40.0,14.99
imbituba,br,-28.24,-48.67,73.4,83.0,33.0,1.12
puerto ayora,ec,-0.74,-90.35,78.8,78.0,75.0,8.05
da nang,vn,16.07,108.22,77.0,73.0,40.0,4.7
nizhneyansk,ru,,,,,,
clyde river,ca,70.47,-68.59,-27.4,67.0,1.0,10.29
natchitoches,us,31.77,-93.13,55.4,71.0,75.0,7.0
lucapa,ao,-8.42,20.74,67.53,92.0,100.0,4.05
nikolsk,ru,53.72,46.07,24.12,92.0,100.0,19.04
grand river south east,mu,,,,,,
palana,ru,59.12,159.97,31.35,75.0,100.0,31.36
inhambane,mz,-23.86,35.38,77.94,80.0,22.0,9.93
christchurch,nz,-43.53,172.63,81.0,64.0,0.0,9.17
arraial do cabo,br,-22.97,-42.03,75.16,82.0,0.0,6.76
yellowknife,ca,62.46,-114.35,10.4,85.0,90.0,6.93
kutum,sd,14.2,24.67,39.6,42.0,0.0,5.14
coahuayana,mx,18.73,-103.68,69.8,83.0,40.0,9.17
qaqortoq,gl,60.72,-46.03,14.0,66.0,89.0,3.36
warragul,au,-38.17,145.93,79.0,66.0,5.0,10.0
maningrida,au,-12.07,134.27,85.01,75.0,78.0,17.49
saleaula,ws,,,,,,
oleksandrivka,ua,48.96,32.23,30.29,91.0,100.0,7.81
mabaruma,gy,8.2,-59.78,70.07,98.0,100.0,2.35
hobyo,so,5.35,48.53,77.79,81.0,100.0,10.33
aktash,ru,50.3,87.73,6.62,83.0,80.0,8.08
seddon,nz,-41.67,174.07,82.99,70.0,12.0,5.99
caernarfon,gb,53.14,-4.27,48.0,87.0,70.0,17.22
bilibino,ru,68.05,166.44,-3.91,89.0,100.0,5.28
luanda,ao,-8.84,13.23,80.6,78.0,20.0,4.7
jambi,id,-1.6,103.62,84.83,75.0,32.0,3.44
taoudenni,ml,22.68,-3.98,67.41,26.0,10.0,4.63
moranbah,au,-22.0,148.05,76.98,81.0,100.0,3.98
atambua,id,-9.11,124.89,84.45,68.0,0.0,5.91
erzurum,tr,40.0,41.5,-5.8,83.0,0.0,2.24
san patricio,mx,19.22,-104.7,78.8,78.0,75.0,6.93
kungurtug,ru,50.6,97.52,10.62,75.0,94.0,2.82
coos bay,us,43.37,-124.22,55.0,100.0,90.0,4.7
klaksvik,fo,62.23,-6.59,44.6,93.0,100.0,13.87
hilo,us,19.73,-155.09,80.6,57.0,90.0,4.7
magadan,ru,59.57,150.8,2.26,78.0,100.0,18.34
bombay,nz,-37.17,174.98,86.0,69.0,0.0,18.34
pimentel,pe,-6.84,-79.93,66.2,29.0,75.0,16.11
dhidhdhoo,mv,6.88,73.1,82.02,65.0,100.0,4.36
beatrice,us,40.27,-96.75,32.0,93.0,90.0,5.14
chokurdakh,ru,70.63,147.92,-22.23,86.0,100.0,5.99
yar-sale,ru,66.83,70.83,-8.99,100.0,83.0,3.53
malwan,in,,,,,,
illoqqortoormiut,gl,,,,,,
matagami,ca,49.75,-77.63,28.4,92.0,90.0,5.82
san cristobal,ec,-0.9,-89.62,77.0,94.0,90.0,11.41
kieta,pg,-6.22,155.63,84.7,72.0,17.0,8.59
srednekolymsk,ru,67.45,153.68,-23.49,92.0,100.0,2.33
severo-kurilsk,ru,50.68,156.12,18.86,92.0,100.0,40.24
chapais,ca,49.78,-74.85,24.8,85.0,90.0,8.05
tukrah,ly,32.53,20.58,52.27,59.0,100.0,11.99
mombetsu,jp,44.35,143.35,19.4,48.0,20.0,13.87
tomatlan,mx,19.93,-105.25,67.71,95.0,100.0,2.66
codrington,ag,,,,,,
bethel,us,41.37,-73.41,48.99,100.0,90.0,6.91
meulaboh,id,4.14,96.13,81.23,79.0,100.0,3.94
grand gaube,mu,-20.01,57.66,77.0,78.0,40.0,14.99
castro,cl,-42.47,-73.77,62.6,82.0,95.0,3.36
katsina,ng,12.99,7.6,58.66,15.0,58.0,13.73
nabire,id,-3.37,135.48,88.45,61.0,52.0,5.93
turayf,sa,31.67,38.66,37.4,93.0,0.0,4.7
moiyabana,bw,,,,,,
pevek,ru,69.7,170.31,-9.44,96.0,100.0,0.45
kaitangata,nz,-46.28,169.85,66.99,64.0,5.0,10.45
port macquarie,au,-31.43,152.92,98.01,52.0,32.0,9.17
sitka,us,57.05,-135.33,44.6,81.0,90.0,23.04
sukhumi,ge,43.0,41.02,37.31,46.0,0.0,3.83
genhe,cn,50.78,121.52,-0.09,85.0,2.0,4.16
ewa beach,us,21.32,-158.01,82.4,51.0,40.0,9.17
innisfail,au,-17.53,146.03,74.79,97.0,100.0,3.76
vaini,to,-21.2,-175.2,80.6,88.0,90.0,12.75
tura,ru,64.28,100.25,-1.46,97.0,100.0,5.88
kenora,ca,49.82,-94.43,21.2,92.0,90.0,4.7
marsa matruh,eg,31.35,27.25,46.4,75.0,0.0,6.06
norman wells,ca,65.28,-126.83,-11.2,63.0,20.0,13.87
la rioja,ar,-29.41,-66.85,76.64,41.0,73.0,3.71
quatre cocos,mu,-20.21,57.76,77.0,78.0,40.0,14.99
chaa-khol,ru,,,,,,
manggar,id,-2.88,108.27,82.26,77.0,90.0,7.83
victoria,sc,-4.62,55.45,78.8,88.0,20.0,2.24
pocinhos,br,-7.08,-36.06,77.0,83.0,75.0,10.29
husavik,is,66.04,-17.34,28.4,100.0,90.0,10.29
otavi,na,-19.65,17.33,65.37,58.0,48.0,5.12
chicama,pe,-7.84,-79.15,73.4,94.0,75.0,8.05
hasaki,jp,35.73,140.83,41.0,93.0,75.0,3.36
arkadelphia,us,34.12,-93.05,51.8,76.0,90.0,4.18
pangai,to,-19.8,-174.35,84.2,79.0,20.0,11.41
asuncion,py,-25.3,-57.64,77.0,69.0,0.0,3.67
cap malheureux,mu,-19.98,57.61,77.0,78.0,40.0,14.99
portland,au,-38.33,141.6,61.21,76.0,97.0,18.14
krutinka,ru,56.01,71.51,12.27,91.0,94.0,16.33
faya,td,,,,,,
galveston,us,29.37,-94.97,64.4,72.0,90.0,13.87
blankenberge,be,51.31,3.13,39.2,93.0,75.0,8.05
general roca,ar,-39.03,-67.58,86.0,28.0,73.0,14.99
ha tinh,vn,18.33,105.9,61.56,85.0,100.0,19.04
rorvik,no,64.86,11.24,45.0,95.0,100.0,3.0
katsuura,jp,35.13,140.3,41.0,86.0,75.0,5.82
kununurra,au,-15.77,128.73,87.8,66.0,66.0,3.36
udachnyy,ru,66.42,112.4,-27.4,74.0,100.0,6.71
manosque,fr,43.83,5.79,50.0,100.0,100.0,2.24
kloulklubed,pw,7.04,134.26,84.2,79.0,75.0,12.75
itarema,br,-2.92,-39.92,77.0,95.0,90.0,4.54
buala,sb,-8.14,159.59,88.57,59.0,0.0,2.08
mahebourg,mu,-20.41,57.7,77.0,78.0,40.0,14.99
khatanga,ru,71.97,102.5,-23.94,96.0,22.0,2.64
dawei,mm,14.08,98.2,74.77,62.0,100.0,4.74
port hardy,ca,50.7,-127.42,46.4,81.0,90.0,20.8
sungai kolok,th,,,,,,
ballina,au,-28.87,153.57,84.2,65.0,40.0,14.99
alta floresta,br,-9.88,-56.09,71.01,96.0,100.0,3.47
manokwari,id,-0.87,134.08,82.04,71.0,76.0,5.86
parintins,br,-2.63,-56.74,75.7,95.0,99.0,3.44
ciudad guayana,ve,8.35,-62.65,73.08,84.0,100.0,7.52
maceio,br,-9.67,-35.74,78.8,94.0,75.0,9.17
broome,au,-17.97,122.23,89.6,66.0,75.0,11.41
nanortalik,gl,60.14,-45.24,23.34,75.0,100.0,16.98
wewak,pg,-3.55,143.63,84.63,78.0,11.0,10.11
lasa,cn,,,,,,
saldanha,za,-33.01,17.94,60.8,87.0,83.0,11.41
torbay,ca,47.67,-52.73,19.99,78.0,5.0,13.87
bongandanga,cd,1.5,21.05,66.72,37.0,26.0,1.36
awjilah,ly,29.11,21.29,50.99,46.0,43.0,9.4
kuandian,cn,40.73,124.78,25.38,67.0,1.0,8.5
greenville,us,35.61,-77.37,50.0,87.0,1.0,6.93
vardo,no,70.37,31.11,24.26,70.0,100.0,32.32
rawson,ar,-43.3,-65.1,72.3,42.0,0.0,20.87
duluth,us,46.78,-92.11,32.0,94.0,90.0,6.15
japura,br,,,,,,
la asuncion,ve,11.03,-63.86,87.8,62.0,99.0,9.17
bahia honda,cu,22.9,-83.16,69.84,76.0,2.0,10.67
arlit,ne,18.74,7.39,64.99,11.0,0.0,8.28
port blair,in,11.67,92.75,77.85,70.0,78.0,13.78
mys shmidta,ru,,,,,,
shimoda,jp,34.67,138.95,42.8,87.0,75.0,18.34
tombouctou,ml,20.0,-3.0,70.79,13.0,100.0,3.91
sanghar,pk,26.05,68.95,50.0,87.0,0.0,7.81
mahadday weyne,so,,,,,,
half moon bay,us,37.46,-122.43,63.0,93.0,40.0,3.36
eyl,so,7.98,49.82,78.76,80.0,9.0,20.2
galle,lk,6.04,80.22,77.94,82.0,96.0,6.64
koslan,ru,63.46,48.9,-6.93,97.0,95.0,3.27
hrubieszow,pl,50.8,23.89,32.36,80.0,100.0,4.56
acara,br,-1.96,-48.2,74.68,99.0,97.0,2.04
fort saint john,ca,,,,,,
kedrovyy,ru,56.17,91.82,24.8,68.0,40.0,8.95
riorges,fr,46.04,4.05,44.6,86.0,100.0,2.24
hokitika,nz,-42.72,170.97,65.8,92.0,90.0,4.81
san quintin,mx,30.48,-115.95,42.01,10.0,0.0,5.99
waterlooville,gb,50.88,-1.03,46.99,100.0,74.0,9.17
danilovka,ru,50.36,44.12,27.32,89.0,42.0,16.42
wichita falls,us,33.91,-98.49,57.99,71.0,1.0,13.87
vila franca do campo,pt,37.72,-25.43,57.2,87.0,40.0,3.36
nanakuli,us,21.39,-158.15,82.4,51.0,40.0,9.17
pringsewu,id,-5.36,104.97,83.5,73.0,100.0,2.01
trincomalee,lk,8.57,81.23,78.4,65.0,85.0,4.56
launceston,au,-41.45,147.17,73.0,72.0,75.0,19.46
zeya,ru,53.75,127.27,-16.19,89.0,18.0,3.58
grindavik,is,63.84,-22.43,35.6,72.0,90.0,9.17
attawapiskat,ca,,,,,,
pangody,ru,65.85,74.49,-9.17,100.0,78.0,4.23
florence,us,34.05,-79.67,48.99,93.0,40.0,4.76
orshanka,ru,56.92,47.89,21.25,96.0,100.0,4.68
port-gentil,ga,-0.72,8.78,83.1,79.0,2.0,11.14
babstovo,ru,48.12,132.48,5.41,80.0,30.0,8.37
angoche,mz,-16.23,39.91,73.99,95.0,100.0,3.33
phalaborwa,za,-23.94,31.14,71.6,83.0,9.0,3.36
puerto baquerizo moreno,ec,-0.9,-89.6,77.0,94.0,90.0,11.41
skibbereen,ie,51.55,-9.27,48.2,93.0,75.0,19.46
cherskiy,ru,68.75,161.3,-17.93,96.0,100.0,2.71
adrar,dz,25.75,-1.0,68.13,26.0,69.0,8.3
churachandpur,in,24.33,93.67,60.28,44.0,0.0,1.36
bubaque,gw,11.28,-15.83,77.86,70.0,92.0,7.76
chulym,ru,55.1,80.96,1.99,93.0,100.0,13.22
marrakesh,ma,31.63,-8.01,48.2,87.0,0.0,1.12
vernon,us,34.15,-99.27,59.0,71.0,1.0,4.7
petropavl,kz,54.88,69.16,16.75,90.0,100.0,17.02
lorengau,pg,-2.02,147.27,84.22,71.0,85.0,6.04
mount gambier,au,-37.83,140.77,62.6,82.0,90.0,12.75
longyearbyen,sj,78.22,15.64,-0.4,59.0,7.0,3.36
omboue,ga,-1.57,9.26,75.56,95.0,2.0,1.48
bairiki,ki,1.33,172.98,89.6,70.0,40.0,4.7
esperance,au,-33.87,121.9,75.2,53.0,95.0,6.93
ozinki,ru,51.18,49.68,30.4,81.0,93.0,26.17
pesaro,it,43.9,12.89,44.01,100.0,95.0,1.12
arraias,br,-12.93,-46.94,70.43,93.0,100.0,2.21
laguna,br,-28.48,-48.78,62.94,91.0,4.0,3.38
kirovskaya,ru,46.97,40.04,35.6,83.0,75.0,11.18
jalu,ly,29.03,21.55,50.99,46.0,43.0,9.4
arman,ru,59.7,150.17,-2.0,92.0,100.0,19.26
provideniya,ru,64.38,-173.3,-5.44,69.0,0.0,3.4
nome,us,64.5,-165.41,-13.0,69.0,1.0,3.36
pervomayskoye,ru,43.92,46.71,34.43,69.0,0.0,10.2
aloleng,ph,16.13,119.78,85.1,60.0,70.0,6.02
lima duarte,br,-21.84,-43.79,73.0,80.0,23.0,1.03
willowmore,za,-33.29,23.49,61.9,86.0,66.0,4.63
nampula,mz,-15.12,39.27,73.4,94.0,75.0,3.36
ekhabi,ru,53.51,142.97,-9.99,85.0,0.0,19.69
hay river,ca,60.82,-115.8,12.2,92.0,90.0,3.36
smoky lake,ca,54.12,-112.47,18.0,91.0,0.0,3.8
tsihombe,mg,,,,,,
moussoro,td,13.64,16.49,58.93,18.0,0.0,15.01
veraval,in,20.9,70.37,68.07,30.0,0.0,7.45
trelew,ar,-43.25,-65.31,73.8,25.0,0.0,23.06
beloha,mg,-25.17,45.05,67.44,85.0,0.0,10.22
kachiry,kz,53.07,76.1,11.79,84.0,100.0,14.23
asfi,ma,32.3,-9.24,50.88,89.0,3.0,5.53
cayenne,gf,4.93,-52.33,75.2,94.0,75.0,2.24
barvinkove,ua,48.91,37.02,32.49,87.0,100.0,12.26
chakwal,pk,32.93,72.86,37.4,100.0,0.0,6.93
aracaju,br,-10.91,-37.07,84.2,79.0,75.0,11.41
zemio,cf,5.03,25.14,64.47,26.0,68.0,5.7
margate,za,-30.86,30.37,78.67,81.0,0.0,26.6
yulara,au,-25.24,130.99,91.4,11.0,0.0,14.99
bonthe,sl,7.53,-12.51,75.45,92.0,31.0,6.04
sonipat,in,28.98,77.02,61.0,100.0,20.0,3.94
khormuj,ir,,,,,,
dauphin,ca,51.15,-100.05,19.4,85.0,90.0,3.36
port lincoln,au,-34.73,135.87,74.1,54.0,32.0,10.18
kyra,ru,49.58,111.98,7.29,71.0,0.0,2.35
cap-chat,ca,49.1,-66.68,18.84,94.0,100.0,4.25
poum,nc,-20.23,164.02,79.77,82.0,100.0,21.39
tuatapere,nz,-46.13,167.68,65.64,51.0,98.0,4.76
naze,jp,28.37,129.48,71.6,88.0,75.0,12.75
sataua,ws,,,,,,
mao,td,14.12,15.31,59.04,18.0,0.0,17.31
souillac,mu,-20.52,57.52,77.0,78.0,40.0,14.99
santa rosa,ar,-36.62,-64.28,71.01,27.0,0.0,6.08
abalak,ne,15.45,6.28,61.61,15.0,8.0,13.47
namatanai,pg,-3.67,152.43,85.87,71.0,67.0,12.68
walvis bay,na,-22.96,14.51,62.01,93.0,0.0,12.48
surt,ly,31.21,16.59,57.7,36.0,100.0,12.66
sungai siput utara,my,,,,,,
leeton,au,-34.57,146.4,88.0,22.0,0.0,9.17
ponta delgada,pt,37.73,-25.67,57.2,87.0,40.0,3.36
leshukonskoye,ru,64.9,45.76,-4.61,98.0,86.0,2.89
altus,us,34.64,-99.33,59.0,66.0,90.0,8.05
mlonggo,id,-6.53,110.7,82.4,78.0,20.0,3.36
tual,id,-5.67,132.75,85.28,66.0,100.0,9.6
bima,id,-8.47,118.72,85.42,67.0,75.0,3.38
raudeberg,no,61.99,5.14,45.0,100.0,100.0,24.16
shache,cn,38.42,77.24,23.59,66.0,97.0,1.95
yanchukan,ru,,,,,,
san lawrenz,mt,36.06,14.2,57.99,100.0,100.0,8.05
nguiu,au,,,,,,
khuzhir,ru,53.19,107.34,17.11,87.0,100.0,4.43
maragogi,br,-9.01,-35.22,81.54,84.0,40.0,15.19
alice springs,au,-23.7,133.88,91.4,11.0,0.0,16.11
inuvik,ca,68.35,-133.72,-13.0,69.0,90.0,19.46
kidal,ml,18.44,1.41,69.96,10.0,100.0,7.99
haines junction,ca,60.75,-137.51,-14.78,99.0,100.0,5.93
kiunga,pg,-6.12,141.29,80.8,79.0,92.0,2.39
okha,ru,53.57,142.95,-9.99,85.0,0.0,19.69
komsomolskiy,ru,43.98,46.7,34.43,69.0,0.0,10.2
alyangula,au,-13.85,136.42,87.8,70.0,90.0,10.29
honiara,sb,-9.43,159.95,89.6,62.0,20.0,6.93
batsfjord,no,70.63,29.72,13.86,83.0,100.0,21.47
palmer,us,42.16,-72.33,46.4,93.0,90.0,8.05
bolobo,cd,-2.17,16.23,73.89,51.0,100.0,2.28
titesti,ro,45.02,25.0,34.32,78.0,38.0,3.49
cozumel,mx,20.51,-86.95,75.99,83.0,20.0,5.82
pangnirtung,ca,66.15,-65.71,-36.89,99.0,100.0,2.98
windsor,ca,42.3,-83.02,35.01,96.0,90.0,9.17
riyaq,lb,,,,,,
skjervoy,no,70.03,20.97,23.05,70.0,64.0,7.74
wuwei,cn,37.93,102.64,27.0,48.0,6.0,2.75
garowe,so,8.41,48.48,72.57,79.0,36.0,6.62
los llanos de aridane,es,28.66,-17.92,62.6,63.0,20.0,4.7
selaphum,th,16.03,103.94,75.2,83.0,100.0,4.7
la ronge,ca,55.1,-105.28,23.0,92.0,90.0,6.93
necochea,ar,-38.55,-58.74,63.0,65.0,0.0,1.99
kenai,us,60.55,-151.26,10.0,59.0,1.0,11.41
viligili,mv,,,,,,
danane,ci,7.26,-8.15,67.44,19.0,0.0,1.68
berlevag,no,70.86,29.09,23.07,69.0,100.0,27.11
hihifo,to,,,,,,
rocha,uy,-34.48,-54.33,60.19,78.0,0.0,4.52
chililabombwe,zm,-12.36,27.82,62.65,97.0,33.0,3.38
thouars,fr,46.98,-0.22,44.01,93.0,71.0,4.7
ladwa,in,29.99,77.04,49.77,67.0,0.0,4.27
sur,om,22.57,59.53,67.05,83.0,7.0,5.73
fort smith,us,35.39,-94.4,53.6,66.0,90.0,8.05
guichicovi,mx,,,,,,
auki,sb,-8.77,160.7,83.89,73.0,0.0,4.07
cukai,my,4.25,103.42,77.0,94.0,20.0,2.24
ravar,ir,31.27,56.81,38.82,56.0,58.0,7.99
sigli,id,5.38,95.96,81.03,65.0,86.0,1.86
loviisa,fi,60.45,26.23,32.0,92.0,100.0,2.24
gwadar,pk,25.12,62.33,71.98,72.0,62.0,13.0
visby,se,57.64,18.3,41.0,86.0,79.0,13.87
